Feature,Bin_Index,Expected_Prop,Observed_Count,Observed_Prop,PSI_Contribution
recency_scaled,0,0.1,195,0.11912034208918754,0.0033453729517668785
recency_scaled,1,0.1,111,0.0678069639584606,0.012507164580032131
recency_scaled,2,0.1,187,0.11423335369578497,0.0018940769619582673
recency_scaled,3,0.1,175,0.10690287110568113,0.0004607700255800861
recency_scaled,4,0.1,182,0.11117898594990837,0.001184650586074905
recency_scaled,5,0.1,379,0.23152107513744655,0.11041203736582716
recency_scaled,6,0.1,153,0.09346365302382406,0.00044184112641160536
recency_scaled,7,0.1,72,0.04398289554062309,0.046010733539161165
recency_scaled,8,0.1,76,0.046426389737324374,0.041107146021233665
recency_scaled,9,0.1,107,0.06536346976175932,0.014727682987288266
frequency_scaled,0,0.25,913,0.5577275503970678,0.24692356042342764
frequency_scaled,1,0.25,354,0.21624923640806354,0.004894849723421017
frequency_scaled,2,0.25,175,0.10690287110568113,0.12156676955728209
frequency_scaled,3,0.25,195,0.11912034208918754,0.09702457935830565
monetary_log_scaled,0,0.1,152,0.09285277947464875,0.0005300018774041001
monetary_log_scaled,1,0.1,166,0.10140500916310324,1.9603114937534742e-05
monetary_log_scaled,2,0.1,138,0.08430054978619425,0.00268118035427675
monetary_log_scaled,3,0.1,155,0.0946854001221747,0.0002902322522194456
monetary_log_scaled,4,0.1,155,0.0946854001221747,0.0002902322522194456
monetary_log_scaled,5,0.1,178,0.10873549175320708,0.0007315805391474885
monetary_log_scaled,6,0.1,176,0.10751374465485644,0.0005443596097318677
monetary_log_scaled,7,0.1,211,0.12889431887599268,0.007334032561015044
monetary_log_scaled,8,0.1,154,0.09407452657299939,0.0003619449939190981
monetary_log_scaled,9,0.1,152,0.09285277947464875,0.0005300018774041001
