Feature,Bin_Index,Expected_Prop,Observed_Count,Observed_Prop,PSI_Contribution
recency_scaled,0,0.1,77,0.050959629384513566,0.03305990122712989
recency_scaled,1,0.1,193,0.12772998014559894,0.006786866043902996
recency_scaled,2,0.1,160,0.10589013898080742,0.00033710411581779217
recency_scaled,3,0.1,202,0.13368630046326935,0.00978000307838239
recency_scaled,4,0.1,175,0.1158173395102581,0.002322683058246988
recency_scaled,5,0.1,397,0.2627399073461284,0.15720584100949656
recency_scaled,6,0.1,114,0.07544672402382528,0.006917723967441275
recency_scaled,7,0.1,77,0.050959629384513566,0.03305990122712989
recency_scaled,8,0.1,55,0.036399735274652546,0.06427497983907482
recency_scaled,9,0.1,61,0.04037061548643282,0.05408790685638319
frequency_scaled,0,0.25,885,0.585704831237591,0.2858040013206417
frequency_scaled,1,0.25,340,0.22501654533421575,0.002630432580234766
frequency_scaled,2,0.25,133,0.08802117802779616,0.16908701522163175
frequency_scaled,3,0.25,153,0.10125744540039709,0.13443272950109392
monetary_log_scaled,0,0.1,133,0.08802117802779616,0.0015284107300665912
monetary_log_scaled,1,0.1,153,0.10125744540039709,1.5713103253546718e-05
monetary_log_scaled,2,0.1,133,0.08802117802779616,0.0015284107300665912
monetary_log_scaled,3,0.1,139,0.09199205823957644,0.000668406371535954
monetary_log_scaled,4,0.1,152,0.10059563203176704,3.537251099155531e-06
monetary_log_scaled,5,0.1,175,0.1158173395102581,0.002322683058246988
monetary_log_scaled,6,0.1,173,0.11449371277299801,0.001961720041229622
monetary_log_scaled,7,0.1,181,0.11978821972203839,0.003572865217349599
monetary_log_scaled,8,0.1,140,0.09265387160820648,0.0005605055314561386
monetary_log_scaled,9,0.1,132,0.08735936465916612,0.0017082547861173858
